company,title,experience,link,completed_date,first_seen
BEP,사업개발(관리) - 시니어,공고 확인,https://bep.co.kr/Career/recruitmentView?idx=128,2025-12-23,
BEP,상시 채용 인재 POOL 등록,공고 확인,https://bep.co.kr/Career/recruitmentView?idx=121,2025-12-23,
BEP,프론트엔드 개발 - 주니어,공고 확인,https://bep.co.kr/Career/recruitmentView?idx=120,2025-12-23,
BEP,사업개발(영업) 팀장 - 시니어,공고 확인,https://bep.co.kr/Career/recruitmentView?idx=118,2025-12-23,
BEP,QA - 주니어 또는 시니어,공고 확인,https://bep.co.kr/Career/recruitmentView?idx=113,2025-12-23,
이브이시스(주),[EVSIS] 시설 관리 담당자 채용,경력5년↑,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52429363&location=ts&searchword=%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%8B%9C%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=72ab71ae-c42a-402a-92bf-bd1c65445947,2025-12-23,
이브이시스(주),[EVSIS] C/S관리 담당자 채용,경력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52440475&location=ts&searchword=%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%8B%9C%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=72ab71ae-c42a-402a-92bf-bd1c65445947,2025-12-23,
이브이시스(주),[EVSIS] 전기차 충전 C/S담당자(강원/원주) 채용,경력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52467515&location=ts&searchword=%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%8B%9C%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=72ab71ae-c42a-402a-92bf-bd1c65445947,2025-12-23,
이브이시스(주),[EVSIS] 전략기획 신입사원 채용,경력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52467747&location=ts&searchword=%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%8B%9C%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=72ab71ae-c42a-402a-92bf-bd1c65445947,2025-12-23,
이브이시스(주),[EVSIS] 영업 경력사원 채용,경력5년↑,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52479775&location=ts&searchword=%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%8B%9C%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=72ab71ae-c42a-402a-92bf-bd1c65445947,2025-12-23,
(주)플러그링크,전기차충전업 시공 PM 매니저,신입·경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52456866&location=ts&searchword=%ED%94%8C%EB%9F%AC%EA%B7%B8%EB%A7%81%ED%81%AC&searchType=search&paid_fl=n&search_uuid=e60180b3-59d3-4354-b438-bf1f431393cb,2025-12-23,
(주)플러그링크,전기차충전업 서비스기획 매니저,경력 5~10년,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52522456&location=ts&searchword=%ED%94%8C%EB%9F%AC%EA%B7%B8%EB%A7%81%ED%81%AC&searchType=search&paid_fl=n&search_uuid=e60180b3-59d3-4354-b438-bf1f431393cb,2025-12-23,
(주)플러그링크,전기차충전업 백엔드 엔지니어,경력 5~8년,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52522463&location=ts&searchword=%ED%94%8C%EB%9F%AC%EA%B7%B8%EB%A7%81%ED%81%AC&searchType=search&paid_fl=n&search_uuid=e60180b3-59d3-4354-b438-bf1f431393cb,2025-12-23,
(주)플러그링크,전기차충전업 CX 매니저,경력 2~7년,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52522738&location=ts&searchword=%ED%94%8C%EB%9F%AC%EA%B7%B8%EB%A7%81%ED%81%AC&searchType=search&paid_fl=n&search_uuid=e60180b3-59d3-4354-b438-bf1f431393cb,2025-12-23,
(주)플러그링크,전기차충전업 운영기획 매니저,경력 2~7년,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52522773&location=ts&searchword=%ED%94%8C%EB%9F%AC%EA%B7%B8%EB%A7%81%ED%81%AC&searchType=search&paid_fl=n&search_uuid=e60180b3-59d3-4354-b438-bf1f431393cb,2025-12-23,
(주)에버온,[전기차충전서비스기업 에버온] 정보보안 담당자 채용,경력5년↑,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52409006&location=ts&searchword=%EC%97%90%EB%B2%84%EC%98%A8&searchType=search&paid_fl=n&search_uuid=e6bf70bc-dbb5-4d15-b49c-4d8d7e1940ac,2025-12-23,
(주)에버온,[전기차충전서비스기업 에버온] 데이터분석기획자 채용,경력 2~10년,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52468911&location=ts&searchword=%EC%97%90%EB%B2%84%EC%98%A8&searchType=search&paid_fl=n&search_uuid=e6bf70bc-dbb5-4d15-b49c-4d8d7e1940ac,2025-12-23,
(주)에버온,[전기차충전서비스기업 에버온] 서비스기획운영자 채용,경력 2~10년,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52469100&location=ts&searchword=%EC%97%90%EB%B2%84%EC%98%A8&searchType=search&paid_fl=n&search_uuid=e6bf70bc-dbb5-4d15-b49c-4d8d7e1940ac,2025-12-23,
이브이시스(주),[EVSIS] 시설 관리 담당자 채용,상세 참조,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52429363&location=ts&searchword=%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%8B%9C%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=ed6c8689-cac5-44e7-b718-07a27827f932,2025-12-23,2025-12-23
이브이시스(주),[EVSIS] C/S관리 담당자 채용,상세 참조,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52440475&location=ts&searchword=%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%8B%9C%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=ed6c8689-cac5-44e7-b718-07a27827f932,2025-12-23,2025-12-23
이브이시스(주),[EVSIS] 전기차 충전 C/S담당자(강원/원주) 채용,상세 참조,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52467515&location=ts&searchword=%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%8B%9C%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=ed6c8689-cac5-44e7-b718-07a27827f932,2025-12-23,2025-12-23
이브이시스(주),[EVSIS] 전략기획 신입사원 채용,상세 참조,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52467747&location=ts&searchword=%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%8B%9C%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=ed6c8689-cac5-44e7-b718-07a27827f932,2025-12-23,2025-12-23
이브이시스(주),[EVSIS] 영업 경력사원 채용,상세 참조,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52479775&location=ts&searchword=%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%8B%9C%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=ed6c8689-cac5-44e7-b718-07a27827f932,2025-12-23,2025-12-23
(주)플러그링크,전기차충전업 시공 PM 매니저,상세 참조,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52456866&location=ts&searchword=%ED%94%8C%EB%9F%AC%EA%B7%B8%EB%A7%81%ED%81%AC&searchType=search&paid_fl=n&search_uuid=29d8bf0a-b05a-4828-815d-6ff77bc55f23,2025-12-23,2025-12-23
(주)플러그링크,전기차충전업 서비스기획 매니저,상세 참조,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52522456&location=ts&searchword=%ED%94%8C%EB%9F%AC%EA%B7%B8%EB%A7%81%ED%81%AC&searchType=search&paid_fl=n&search_uuid=29d8bf0a-b05a-4828-815d-6ff77bc55f23,2025-12-23,2025-12-23
(주)플러그링크,전기차충전업 백엔드 엔지니어,상세 참조,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52522463&location=ts&searchword=%ED%94%8C%EB%9F%AC%EA%B7%B8%EB%A7%81%ED%81%AC&searchType=search&paid_fl=n&search_uuid=29d8bf0a-b05a-4828-815d-6ff77bc55f23,2025-12-23,2025-12-23
(주)플러그링크,전기차충전업 CX 매니저,상세 참조,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52522738&location=ts&searchword=%ED%94%8C%EB%9F%AC%EA%B7%B8%EB%A7%81%ED%81%AC&searchType=search&paid_fl=n&search_uuid=29d8bf0a-b05a-4828-815d-6ff77bc55f23,2025-12-23,2025-12-23
(주)플러그링크,전기차충전업 운영기획 매니저,상세 참조,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52522773&location=ts&searchword=%ED%94%8C%EB%9F%AC%EA%B7%B8%EB%A7%81%ED%81%AC&searchType=search&paid_fl=n&search_uuid=29d8bf0a-b05a-4828-815d-6ff77bc55f23,2025-12-23,2025-12-23
(주)에버온,[전기차충전서비스기업 에버온] 정보보안 담당자 채용,상세 참조,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52409006&location=ts&searchword=%EC%97%90%EB%B2%84%EC%98%A8&searchType=search&paid_fl=n&search_uuid=066716dc-f7c1-45e2-8a3a-2f286c447bd6,2025-12-23,2025-12-23
(주)에버온,[전기차충전서비스기업 에버온] 데이터분석기획자 채용,상세 참조,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52468911&location=ts&searchword=%EC%97%90%EB%B2%84%EC%98%A8&searchType=search&paid_fl=n&search_uuid=066716dc-f7c1-45e2-8a3a-2f286c447bd6,2025-12-23,2025-12-23
(주)에버온,[전기차충전서비스기업 에버온] 서비스기획운영자 채용,상세 참조,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52469100&location=ts&searchword=%EC%97%90%EB%B2%84%EC%98%A8&searchType=search&paid_fl=n&search_uuid=066716dc-f7c1-45e2-8a3a-2f286c447bd6,2025-12-23,2025-12-23
